Time 07:00, Leo (Lion), Howler (Monkey), Distance 0.0
Time 07:00, Rocky (Bear), Heights (Giraffe), Distance 1.4142135623730951
Time 13:00, Rocky (Bear), Lily (Cow), Distance 1.0
Time 23:00, Rocky (Bear), Strider (Zebra), Distance 1.4142135623730951
Time 00:00, Cobra (Snake), Longneck (Giraffe), Distance 1.0
Time 21:00, Cobra (Snake), Stripey (Zebra), Distance 1.4142135623730951
Time 19:00, Cobra (Snake), Jester (Monkey), Distance 2.0
Time 11:00, Bog (Crocodile), Jester (Monkey), Distance 0.0
Time 21:00, Shade (Panther), Stretch (Giraffe), Distance 1.4142135623730951
Time 08:00, Amber (Tiger), Cheeky (Monkey), Distance 1.4142135623730951
Time 21:00, Amber (Tiger), Dumbo (Elephant), Distance 0.0
Time 04:00, Amber (Tiger), Towering (Elephant), Distance 2.0
Time 05:00, Amber (Tiger), Screecher (Monkey), Distance 2.0
Time 13:00, Fangtail (Snake), Stretch (Giraffe), Distance 2.0
Time 01:00, Snapper (Crocodile), Screecher (Monkey), Distance 0.0
Time 18:00, Stealth (Panther), Tower (Giraffe), Distance 1.0
Time 08:00, Roary (Lion), Strider (Zebra), Distance 1.4142135623730951
Time 10:00, Blazeheart (Tiger), Bessie (Cow), Distance 2.0
Time 23:00, Blazeheart (Tiger), Heights (Giraffe), Distance 1.4142135623730951
Time 06:00, Bramble (Bear), Sunbeam (Giraffe), Distance 2.0
Time 10:00, Slithers (Snake), Boulder (Elephant), Distance 1.0
Time 16:00, Slithers (Snake), Screecher (Monkey), Distance 2.0
Time 11:00, Gator (Crocodile), Bell (Cow), Distance 1.0
Time 05:00, Gator (Crocodile), Towering (Elephant), Distance 0.0
Time 04:00, Majesty (Lion), Gallop (Zebra), Distance 1.0
Time 11:00, Majesty (Lion), Zippy (Zebra), Distance 1.0
Time 11:00, Flame (Tiger), Jumbo (Elephant), Distance 1.0
Time 07:00, Birch (Bear), Cloud (Giraffe), Distance 1.0
Time 16:00, Birch (Bear), Heights (Giraffe), Distance 1.4142135623730951
Time 01:00, Venom (Snake), Bessie (Cow), Distance 0.0
Time 01:00, Venom (Snake), Rarity (Zebra), Distance 1.4142135623730951
Time 16:00, Venom (Snake), Jester (Monkey), Distance 0.0
Time 14:00, Venom (Snake), Meadow (Cow), Distance 0.0
Time 08:00, Venom (Snake), Necky (Giraffe), Distance 2.0
Time 07:00, Swamp (Crocodile), Longneck (Giraffe), Distance 1.0
Time 06:00, Sable (Panther), Longneck (Giraffe), Distance 0.0
Time 19:00, Thunder (Lion), Titan (Elephant), Distance 1.0
Time 00:00, Thunder (Lion), Clover (Cow), Distance 1.0
Time 19:00, Thunder (Lion), Boulder (Elephant), Distance 1.0
Time 11:00, Thunder (Lion), Racer (Zebra), Distance 2.0
